Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
DZZ,1.9599,2025/02/28,12:11 EST,0.12979996,1.94,1.9599,1.925,23716,20250226,1.84,50.0,1.0,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250212,9.2955,3.0,0.0,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250214,10.65,10.0,1.5,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250121,6.1999,2.0,0.0,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250210,9.715,3.0,0.0,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250211,5.64,5.0,0.0,,,,
NTLA,10.305,2025/02/28,12:15 EST,-0.55499935,10.27,10.34,9.515,1955063,20250220,12.35,15.0,1.5,,,,
TSLQ,44.9548,2025/02/28,12:15 EST,-2.7151985,48.69,50.6,44.06,9500609,20250225,42.53,2.0,0.0,,,,
PRCH,6.875,2025/02/28,12:15 EST,0.17500019,6.51,7.18,6.35,1570092,20250226,6.22,2.0,0.0,,,,
PRCH,6.875,2025/02/28,12:15 EST,0.17500019,6.51,7.18,6.35,1570092,20250226,5.99,3.0,0.0,,,,
FIAT,8.68,2025/02/28,12:10 EST,-0.17,9.01,9.095,8.585,293233,20250225,8.77,15.0,1.5,,,,
LABD,7.63,2025/02/28,12:15 EST,-0.23000002,8.03,8.12,7.6,6745318,20250225,7.58,10.0,1.0,,,,
TSLZ,4.14,2025/02/28,12:15 EST,-0.2550001,4.48,4.65,4.0512,42336604,20250225,3.83,10.0,1.0,,,,
XPEV,21.26,2025/02/28,12:15 EST,-1.0,20.59,21.515,20.34,9260621,20250225,19.2,5.0,1.0,,,,
XPEV,21.26,2025/02/28,12:15 EST,-1.0,20.59,21.515,20.34,9260621,20250226,22.2,5.0,1.5,,,,
SBIT,13.43,2025/02/28,12:14 EST,-0.32,14.23,14.5,13.185,4515388,20250225,12.56,10.0,1.5,,,,
BTCZ,6.75,2025/02/28,12:15 EST,-0.15500021,7.15,7.28,6.6399,531104,20250226,6.46,8.0,1.0,,,,
KOLD,23.46,2025/02/28,12:15 EST,0.66999817,23.2,23.66,22.89,4564121,20250226,21.93,5.0,1.5,,,,
LLYX,24.08,2025/02/28,12:14 EST,0.030000687,23.91,24.24,23.45,69091,20250226,24.34,3.0,1.0,,,,
DOCN,42.615,2025/02/28,12:15 EST,-0.094997406,42.36,43.73,41.16,416666,20250225,41.85,3.0,1.5,,,,
BABX,36.92,2025/02/28,12:15 EST,-2.2600021,35.74,37.56,35.485,932182,20250225,36.69,3.0,1.5,,,,
BABA,132.7301,2025/02/28,12:15 EST,-3.8199005,130.95,133.9499,130.14,14485429,20250225,131.66,3.0,1.5,,,,
MU,94.09,2025/02/28,12:15 EST,2.2699966,91.0,94.46,89.87,8793377,20250226,97.06,1.0,1.0,,,,
