[2025-02-28 14:16:31] Portfolio carregado com 23 entradas.
[2025-02-28 14:16:32] BABA: Atualizado: 132.69 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:16:33] BABX: Atualizado: 36.889 (pre: None, pos: None, target: None)
[2025-02-28 14:16:34] BTCZ: Atualizado: 6.765 (pre: None, pos: None, target: None)
[2025-02-28 14:16:34] DOCN: Atualizado: 42.565 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:16:35] DZZ: Atualizado: 1.9599 (pre: None, pos: None, target: None)
[2025-02-28 14:16:36] FIAT: Atualizado: 8.68 (pre: None, pos: None, target: None)
[2025-02-28 14:16:37] KOLD: Atualizado: 23.36 (pre: None, pos: None, target: None)
[2025-02-28 14:16:37] LABD: Atualizado: 7.6322 (pre: None, pos: None, target: None)
[2025-02-28 14:16:38] LLYX: Atualizado: 24.08 (pre: None, pos: None, target: None)
[2025-02-28 14:16:39] MU: Atualizado: 94.1 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:16:40] NTLA: Atualizado: 10.32 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:16:40] PRCH: Atualizado: 6.88 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:16:41] SBIT: Atualizado: 13.4702 (pre: None, pos: None, target: None)
[2025-02-28 14:16:42] TSLQ: Atualizado: 44.84 (pre: None, pos: None, target: None)
[2025-02-28 14:16:43] TSLZ: Atualizado: 4.1288 (pre: None, pos: None, target: None)
[2025-02-28 14:16:44] XPEV: Atualizado: 21.285 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:16:59] Portfolio carregado com 23 entradas.
[2025-02-28 14:16:59] BABA: Atualizado: 132.695 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:17:00] BABX: Atualizado: 36.889 (pre: None, pos: None, target: None)
[2025-02-28 14:17:01] BTCZ: Atualizado: 6.765 (pre: None, pos: None, target: None)
[2025-02-28 14:17:01] DOCN: Atualizado: 42.57 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:17:02] DZZ: Atualizado: 1.9599 (pre: None, pos: None, target: None)
[2025-02-28 14:17:02] FIAT: Atualizado: 8.6795 (pre: None, pos: None, target: None)
[2025-02-28 14:17:03] KOLD: Atualizado: 23.397 (pre: None, pos: None, target: None)
[2025-02-28 14:17:03] LABD: Atualizado: 7.64 (pre: None, pos: None, target: None)
[2025-02-28 14:17:04] LLYX: Atualizado: 24.08 (pre: None, pos: None, target: None)
[2025-02-28 14:17:04] MU: Atualizado: 94.13 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:17:05] NTLA: Atualizado: 10.325 (pre: None, pos: None, target: 48.62667)
